affiliation,result
"Texas Tech University Lubbock, TX, USA","Texas Tech University, 2500 Broadway, Lubbock, TX 79409, United States of America"
"College of CS & Eng University of Jeddah, Jeddah, Saudi Arabia","Jeddah, Makkah, Saudi Arabia"
"Tianjin University of Technology Tianjin, China","300387 China, Tianjin, Xiqing District, 健行道, Tianjin University of Technology"
"University of Bari Bari, Italy","University of Bari ""Aldo Moro"", 70015 Noci BA, Italy"
"University of Salento Lecce, Italy","University of Salento, Lecce, Italy"
"Nanjing Xiao Zhuang University Nanjing, China","Nanjing, Jiangsu Sheng, China"
"Automatic Software Generation & Intelligence Service Key Laboratory of Sichuan Province, Chengdu, China","Chengdu, Sichuan Sheng, China"
"Chengdu University of Information Technology Chengdu, China","China, Sichuan, Shuangliu District, 常乐社区, 夜市一条街, Chengdu University of Information Technology"
"Automatic Software Generation and Intelligence Service Key Laboratory of Sichuan Province, Chengdu, China","Automatic Software Generation and Intelligence Service Key Laboratory of Sichuan Province, Chengdu, China"
"School of Urban Operation and Management Shanghai Urban Construction Vocational College, Shanghai, China","School of Urban Operation and Management Shanghai Urban Construction Vocational College, Shanghai, China"
"Shanghai Research and Development Center ZTE Corporation, Shanghai, China","Shanghai, Shanghai Shi, China"
"Shanghai University of Medicine & Health Sciences Shanghai, China","Shanghai, Shanghai Shi, China"
"School of Economics and Management, Beihang University","University, Lafayette County, Mississippi, United States of America"
"Tianjin University Tianjin, China","300084 China, Tianjin, Nankai District, Nankai, Xuefu, 湖波道, Tianjin University"
"Beihang University Beijing, China","100083 China, Beijing, Haidian District, Huayuanlu Subdistrict, Xueyuan Road 37, Beihang University"
"State Grid Corporation of China Beijing, China","101422 China, Beijing, Huairou District, Quanhe, Jingmi Expressway, State Grid Corporation of China"
"Jiangsu Frontier Electric Technology CO. LTD Nanjing, China","Nanjing, Jiangsu Sheng, China"
"Liwa College of Technology Abu Dhabi, U.A.E.","Abu Dhabi, United Arab Emirates"
"Universiti Sains Malaysia George Town, Penang, Malaysia","George Town, Penang, Malaysia"
"Maharishi University of Information Technology Uttar Pradesh, India","Maharishi University Of Information Technology, NH230, Lucknow District, Lucknow - 226021, Uttar Pradesh, India"
"Presidency University Bangalore, Karnataka, India","Presidency University, Myrtle Lane, Richmond Town, Bengaluru - 560001, Karnataka, India"
Department of Electronics and Communication Engineering Faculty of Engineering and Technology JAIN (Deemed-to-be University) +91 8762314253 mp.sunil@jainuniversity.ac.in,Department of Electronics and Communication Engineering Faculty of Engineering and Technology JAIN (Deemed-to-be University) +91 8762314253 mp.sunil@jainuniversity.ac.in
"Institute of Semiconductors Chinese Academy of Sciences, Beijing, China","100083 China, Beijing, Haidian District, Xueyuanlu Subdistrict, 北林北门路, Institute of Semiconductors, Chinese Academy of Sciences"
"Dongguan Power Supply Bureau of Guangdong Power Grid Corporation, Dongguan, China","Dongguan, Guangdong, China"
"Guangdong Polytechnic Normal University Guangzhou, China","510665 China, Guangdong Province, Tianhe District, Tangxia, 广州快速公交系统GBRT专用道, Guangdong Polytechnic Normal University"
"University of Tennessee Knoxville, TN, USA","Knoxville, TN 37996, United States of America"
"Illinois state University Normal, USA","Illinois State University, Constitution Trail Collegiate Branch, Normal, IL 61790, United States of America"
"College of Medicine UTHSC-ORNL Center for Biomedical Informatics, The University of Tennessee Health Science Center, Memphis, TN, USA","University Cir, Memphis, TN, United States of America"
"Shanghai University of Electric Power Shanghai, China","Shanghai, Shanghai Shi, China"
"Ltd Hangzhou, China","Hangzhou Nissetsu Machinery Co., Ltd., 伊萨卡社区, Zhejiang, China"
"Central University of Technology Bloemfontein, South Africa","Bloemfontein, Mangaung Metropolitan Municipality, South Africa"
"Urgench branch of Tashkent University of Information Technologies named after Muhammad al-Khwarizmi Urgench, Uzbekistan","Urgench branch of Tashkent University of Information Technologies named after Muhammad al-Khwarizmi Urgench, Uzbekistan"
"School of Compute Science(National Pilot Software Engineering School) Beijing University of Posts and Telecommunications Beijing, China","Beijing, Beijing Shi, China"
"Department of Computer Science, Norwegian University of Science and Technology, Norway","NTNU, Trondheim, Norway"
"College of Computer Science and Information Engineering, Tianjin University of Science & Technology TianJin, China","College of Computer Science and Information Engineering, Tianjin University of Science & Technology TianJin, China"
"Tianjin University of Science and Technology Tianjin, China","Tianjin Shi, China"
"College of Computer Sciences and Information Engineering, Tianjin University of Science and Technology Tianjin 300072, China","College of Computer Sciences and Information Engineering, Tianjin University of Science and Technology Tianjin 300072, China"
"Tianjin University of Science & Technology Tianjin, China","Tianjin Shi, China"
"Sarvajanik College of Engineering and Technology Surat, Gujarat, India","Sarvajanik College of Engineering and Technology, RK Desai Marg, Surat District, Surat - 395001, Gujarat, India"
"Sarvajanik College of Engineering and Technology Surat, India","Sarvajanik College of Engineering and Technology, RK Desai Marg, Surat District, Surat - 395001, Gujarat, India"
"Communication University of China Beijing, China","100123 China, Beijing, Chaoyang District, 体育场东路, Communication University of China"
"15th Institute of China Electronics Technology Group Corporation Beijing, China","Beijing, Beijing Shi, China"
"Shangdong Management University Shandong, China","Shandong Sheng, China"
"Chungnam National University, Dae-Jeon, Korea",South Korea
Texas Tech University,"Texas Tech University, 2500 Broadway, Lubbock, TX 79409, United States of America"
"Dynata Plano, Texas, USA","Dundee Ln, Plano, TX, United States of America"
"Texas Tech University Lubbock, Texas, USA","Texas Tech University, 2500 Broadway, Lubbock, TX 79409, United States of America"
"Ghent University Ghent, Belgium","Ghent University Department of Textiles, Technologiepark-Zwijnaarde 70A, 9052 Ghent, Belgium"
"Ghent University, Ghent, Belgium","Ghent University Department of Textiles, Technologiepark-Zwijnaarde 70A, 9052 Ghent, Belgium"
"McGill University Montreal, Canada","McGill University, Pine Avenue West, Montreal, QC H2W 1S4, Canada"
"LARGEPA Paris, France","A Paris, 32160 Couloumé-Mondebat, France"
"GGS Indraprastha University, Delhi, India","GGS Indraprastha University, Lothiyan Road, Old Delhi, - 110006, Delhi, India"
"School of Information technology Noida, India","GBU School of Information, Communication and Technology, Yamuna Expressway, Gautam Buddha Nagar District, Murshadpur - 201312, Uttar Pradesh, India"
"USIC&T GGSIP University, Delhi, India","Delhi, North Delhi, India"
"Shandong Management University, Jinan City, China","Jinan, Shandong Sheng, China"
"ADAPT Centre, Trinity College Dublin","Dublin, Ireland"
"University of Bonn & Fraunhofer IAIS, Germany",Germany
"University of Bonn & Fraunhofer IAIS, Bonn, Germany","Bonn, North Rhine-Westphalia, Germany"
"Leibniz University Hannover, Hannover, Germany","Hanover, Lower Saxony, Germany"
"TIB - Leibniz Information Centre for Science and Technology, Hannover, Germany","Hanover, Lower Saxony, Germany"
"International School of Management Excellence, Bengaluru, India","International School Of Management Excellence, Sarjapura Road, Chambenahalli, Yamare - 562125, Karnataka, India"
"Anthem, Inc., USA","Inca Pl, Hot Springs Village, AR, United States of America"
"Fareast International University Dhaka, Bangladesh","Dhaka Division, Bangladesh"
"Adobe Systems, California, USA","Adobe Systems, 601 Townsend Street, San Francisco, CA 94103, United States of America"
"Xandr, AT&T Services Inc., USA","State Hwy T, Rosebud, MO, United States of America"
"Manesar Haryana, India","Manesar, Gurugram District, Haryana, India"
"Dr. J. Herbert Smith Centre University of New Brunswick Fredericton, New Brunswick, Canada","Dr. J. Herbert Smith Centre University of New Brunswick Fredericton, New Brunswick, Canada"
"Kyungpook National University Daegu, South Korea","South Korea, Daegu, Sangyeok 3(sam)-dong, Daehak-ro 80, Kyungpook National University, 41566"
"Imam Mohammad Ibn Saud Islamic University (IMSIU) Riyadh, Saudi Arabia","Ar Riyāḑ, Saudi Arabia"
"Monash University Subang Jaya, Selangor, Malaysia","Monash University Malaysia, Persiaran Tasik Barat, Sunway City, 47200 Subang Jaya, Selangor, Malaysia"
"Southwest Jiaotong University Chengdu, China","610031 China, Sichuan, Chengdu, Fuqin, Jiaoda Road, Southwest Jiaotong University"
"Ocean University of China Qingdao, China","266100 China, Shandong, Laoshan District, Jinjialing, Hong Kong East Road 23, Ocean University of China (Fushan Campus)"
"Qingdao University of Technology Qingdao, China","266011 China, Shandong, Shibei District, Fuxinlu, Fushun Road 16, Qingdao University of Technology"
"Columbia Maryland, U.S.A.","Columbia, Maryland, United States of America"
"Fairfax Virginia, U.S.A.","Fort Belvoir, Fairfax County, Virginia, United States of America"
"Mohammed V University Rabat, Morocco","Mohammed V University, Avenue Ibn Batouta شارع ابن بطوطة, 10020 Rabat, Morocco"
"LyRICA Laboratory School of Information Sciences, Rabat, Morocco","Rabat, Morocco"
"ENSIAS University Mohamed V, Rabat, Morocco","Rabat, Morocco"
"Jiujiang Jiangxi, China","Jiangxi, China"
"Dalian Neusoft University of Information, Dalian, China","Dalian, Dalian Shi, China"
"Beijing Advanced Innovation Center for Materials Genome Engineering Beijing Information Science and Technology University, Beijing, China","Beijing Advanced Innovation Center for Materials Genome Engineering Beijing Information Science and Technology University, Beijing, China"
"Beijing Information Science and Technology University Beijing, China","Beijing, Beijing Shi, China"
"Beijing Information Science and Technology University, Beijing, China","Beijing, Beijing Shi, China"
"Zhengzhou University of Light Industry Zhengzhou, China","450002 China, Henan, Jinshui District, Dongfenglu Subdistrict, Dongfeng Road 5号, Zhengzhou University of Light Industry"
"Huizhou Economics and Polytechnic College, Huizhou, China","Huizhou, Guangdong, China"
"Xi'an Institute of Traffic Engineering Shaanxi, China","Shaanxi, China"
"Humanity and Management Institute Xi'an Traffic Engineering Institute, Xi'an, China","Xi'an, Shaanxi, China"
"University of Reims Champagne-Ardenne Reims, France","avenue de Champagne, 51100 Reims, France"
"University of Paris-Sorbonne Paris, France","Rue de la Sorbonne, 75005 Paris, France"
"University of Georgia Athens, Georgia, USA","University of Georgia, Athens-Clarke County Unified Government, Georgia, United States of America"
"University of Georgia Athens GA, USA","University of Georgia, Athens-Clarke County Unified Government, Georgia, United States of America"
"Department of Computer Science University of Georgia Athens, GA, USA","University Dr, Athens, GA, United States of America"
"China Railway Design Corporation, Tianjin, China","Tianjin Shi, China"
"School of Computer and Information Technology of Beijing Jiaotong University, Beijing, China","Beijing, Beijing Shi, China"
"Research Center for High-speed Railway Network Management Ministry of Education, Beijing Jiaotong University, Beijing, China","Research Center for High-speed Railway Network Management Ministry of Education, Beijing Jiaotong University, Beijing, China"
"Gannan Normal University Ganzhou, China","Ganzhou Shi, China"
"ESSCA Business School Angers, France","Place Sophie Scholl, 49100 Angers, France"
"Nanchang Jiangxi,China,330046","Jiangxi, China"
"Xi’an University of Posts & Telecommunications, Xi’an, China","710121 China, Shaanxi, Chang'an District, Chang'an West street 618, Xi'an University of Posts & Telecommunications"
"Computing and Big Data Research Institute Beijing, China","Beijing, Beijing Shi, China"
"China Academy of Information and Communications Technology Beijing, China","Beijing, Beijing Shi, China"
"China Academy of Information and Communications Technology, Beijing, China","Beijing, Beijing Shi, China"
"Xi’an University of Technology Xi’an, China","710048 China, Shaanxi, Beilin District, Dongguannanjie, 正气路, Xi'an University of Technology"
"Xi'an University of Technology Xi'an, China","710048 China, Shaanxi, Beilin District, Dongguannanjie, 正气路, Xi'an University of Technology"
"CoE Forest 4.0 Vytautas Magnus University, Akademija, Lithuania","Akademija, Lithuania"
"Honeywell Environmental and Combustion Controls (Tianjin) Co. Ltd, Tianjin, China","Tianjin Shi, China"
Shandong Normal University,"250014 China, Shandong, Lixia District, Wendong, Wenhua East Road 88, Qianfo Mountain Campus, Shandong Normal University"
"University of Manchester Oxford Road, Manchester, UK","University of Manchester, Oxford Road, Manchester, M13 9PL, United Kingdom"
"University of Manchester Manchester, United Kingdom","University of Manchester Students' Union, Oxford Road, Brunswick, Manchester, M13 9PR, United Kingdom"
"The University of Manchester Manchester, U.K.","The University of Manchester at Harwell, R73 Road Seven, Chilton, OX11 0DE, United Kingdom"
"Key Lab of Beam Bioengineering, Chinese Academy of Sciences, China",China
"Hefei Anhui, China","Hefei, Anhui Sheng, China"
"Hefei Institutes of Physical Science Hefei, Anhui, China","Hefei, Anhui Sheng, China"
"Anhui University Hefei, China","230027 China, Anhui, Shushan District, Sanli'an Subdistrict, Longhe Road, Anhui University (Longhe Compus)"
"National School of Applied Sciences Ibn Tofail University, Kenitra, Morocco","Kenitra, Morocco"
"Santa Clara CA, US","Santa Clara County, California, United States of America"
"Nanthealth, Dallas, US","Dallas, West Virginia, United States of America"
"State Grid Zhejiang Electric Power Co. Ltd., Hangzhou, China","Hangzhou, Zhejiang Sheng, China"
"City University of London, UK","City, University of London, Goswell Place, London, EC1V 7HD, United Kingdom"
"SPHYNX Technology Solutions AG, Zug, Switzerland","Zug, Switzerland"
"Sphynx Technology Solutions AG (STS), Zug, Switzerland","Zug, Switzerland"
Sphynx Analytics Limited,Sphynx Analytics Limited
"City, University of London","University of Fort Hare, East London Campus, 50 Church Street, Quigney, East London, 5201, South Africa"
"State Key Laboratory of Wide Bandgap Semiconductor Devices and Integrated Technology, China","State Key Laboratory of Wide Bandgap Semiconductor Devices and Integrated Technology, China"
"Guangzhou Wide Bandgap Semiconductor Innovation Center Xidian University, Guangzhou, China","Guangzhou, Guangdong, China"
"China Academy of Railway Sciences Corporation Limited Beijing, China","Beijing, Beijing Shi, China"
"The Second Affiliated Hospital of Soochow University Suzhou, China","Suzhou, Jiangsu Sheng, China"
"RV College of Engineering Bangalore, India","Bangalore, Bangalore Urban, India"
"Qingdao Agricultural University Qingdao, China","266109 China, Shandong, Chengyang District, 小北曲, 长城路 700, Qingdao Agricultural University"
"Ltd. Yinchuan, China","Yinchuan, Ningxia Huizu Zizhiqu, China"
"Ningxia Electric Power Co. Ltd, Yinchuan, China","Yinchuan, Ningxia Huizu Zizhiqu, China"
"Ltd Yinchuan, China","Yinchuan, Ningxia Huizu Zizhiqu, China"
"Amity University Manesar, Gurgaon, India","Amity University Haryana, Amity University Haryana, Amer Road, Manesar, Manesar - 122001, Haryana, India"
"Chitkara University Punjab, India","Punjab, India"
"Vasavi College of Engineering Hyderabad, Telangana, India","Vasavi College of Engineering, 9-5-81, Vasavi College of Engineering Parking, Ward 66 Langar Houz, Hyderabad - 500031, Telangana, India"
"Stanley College of Engineering and Technology for Women Hyderabad, India","Hyderabad, Hyderābād, India"
"Institute of Automation Chinese Academy of Sciences, Beijing, China","Beijing, Beijing Shi, China"
"High-tech Innovation Center Institute of Automation, Chinese Academy of Science Beijing, China","Beijing, Beijing Shi, China"
"GIDC Degree Engineering College Abrama Navsari, India","Navsāri, Navsari, India"
"Sichuan University Chengdu, China","China, Sichuan, Shuangliu District, Xihanggang, Huanghe South Road, Sichuan University (Jiang'an Campus)"
"Hubei University of Police, Wuhan, China","Wuhan, Hubei, China"
"Yichang Hubei, China","Yichang, Hubei, China"
"North China University of Technology,Beijing,China","100043 China, Beijing, Shijingshan District, Pingguoyuan, 晋元庄路 5号, North China University of Technology"
"Beijing University of Post and Telecommunications Beijing, China","Beijing, Beijing Shi, China"
"No. 2000 Wangyue Road Jinan, China","250000 China, Shandong, Shizhong District, Shiliulihe, 福康路, Fukang Road Wangyue Road"
"Electric Power Reasearch Institute Shandong Power Supply Company of State Grid, Jinan, China","Electric Power Reasearch Institute Shandong Power Supply Company of State Grid, Jinan, China"
"School of Information Sciences, Rabat, Morocco","School Of Information Sciences, مدرسة علوم المعلومات شارع علال الفاسي, 10112 Rabat, Morocco"
"Mediation, Information, Knowledge and Society Laboratory","Mediation, Information, Knowledge and Society Laboratory"
"Computer Science, Data Science and Artificial Intelligence Laboratory","Computer Science, Data Science and Artificial Intelligence Laboratory"
"University of Calabria Rende (CS), Italy","Rende, Cosenza, Italy"
"School of Medicine Tongji University, Shanghai, China","200092 China, Shanghai, Yangpu District, Sipinglu, Century Road, Tongji University School of Medicine"
"Karamay Central Hospital, Xinjiang, China","Xinjiang Uygur Zizhiqu, China"
"Petrochina Natural Gas Marketing Company Guangzhou, China","Guangzhou, Guangdong, China"
"Jincheng Power Supply Company, Jincheng, China","Jincheng, Shanxi Sheng, China"
"North China Electric Power University, Beijing, China","102208 China, Beijing, Changping District, 华北电力大学南街, North China Electric Power University - Beijing Campus"
"Electrical and Electronic Engineering North China Electric Power University, Beijing, China","Beijing, Beijing Shi, China"
"North China Electric Power University Beijing, China","102208 China, Beijing, Changping District, 华北电力大学南街, North China Electric Power University - Beijing Campus"
"Tianjin Maritime College, Tianjin, China","China, Tianjin, Jinnan District, 海河教育园, 雅馨路, Tianjin Maritime College"
"MITM Indore, India","Indore, Indore district, India"
"Information Technology MITM, Indore, India","Indore, Indore district, India"
"Naval University of Engineering Wuhan HuBei, China","Wuhan, Hubei, China"
"Naval University of Engineering Wuhan, P.R.China","Naval University of Engineering Wuhan, P.R.China"
"Tongji university Shanghai, China","200092 China, Shanghai, Yangpu District, Sipinglu, Siping Road 1239, Tongji University"
"College of Computer Science and Technology Guizhou University Guiyang, China","Guiyang, Guizhou Sheng, China"
"Guizhou University Guiyang, China","China, Guizhou, Guiyang, 花溪大道, Guizhou University"
"Guizhou Institute of Technology and Guizhou University, Guiyang, China","Guiyang, Guizhou Sheng, China"
"LexisNexis Risk Solutions Alpharetta, USA","Roscoe I St, Ogallala, NE, United States of America"
"Shandong Agricultural University Taian, China","271000 China, Shandong, Taishan District, Spring Rd, Shandong Agricultural University (South Campus)"
"PetroChina Xi’an, Oil Production Plant No. 5 Changqing Oilfield Company, China",China
"School of Automation Nanjing University of Science and Technology, Nanjing, China","Nanjing, Jiangsu Sheng, China"
"Science and Technology Information Division Huabei Oilfield Company Renqiu, China","Renqiu, Hebei, China"
"CVR College of Engineering Hyderabad, Telangana, India","Hyderabad, Hyderābād, India"
"Berhampur University Berhampur, Odisha, India","Berhampur University, Berhampur University (internal Routes), Ganjam District, Badapur - 760007, Odisha, India"
"Department of IT, CVR College of Engineering, Hyderabad","Hyderabad, Hyderābād, India"
"Lakehead University Orillia, ON, Canada","Lakehead University, University Avenue, Orillia, ON L3V 8B3, Canada"
"Hefei University Hefei, China","230022 China, Anhui, Shushan District, Sanli'an Subdistrict, Huangshan Road, Hefei University"
"China Satellite Marine Track & Control Dept., Jiangyin, China","Jiangyin, Jiangsu Sheng, China"
"Guangdong Food and Drug Vocational College Guangzhou, China","510650 China, Guangdong Province, Tianhe District, Longdong, Longdong North Road, Guangdong Food and Drug Vocational College"
"Guangdong Polytechnic of Water Resources and Electric Engineering Guangzhou, China","Guangzhou, Guangdong, China"
"Academy of Military Science of PLA, Beijing, China","Beijing, Beijing Shi, China"
"National University of Defense Technology, Changsha, China","410073 China, Hunan, Kaifu, Wujialing, 三一大道, National University of Defense Technology"
"Department of Computer Science and Engineering, Tatung University, Taiwan",Taiwan
"Tatung University Taipei, Taiwan","Taiwan, 104, Taipei Zhongshan District Section 3, Zhongshan North Road 40, Tatung University"
"Philips Research North America, Briarcliff Manor, US","Philips Research North America, 345 Scarborough Road, Scarborough, Village of Briarcliff Manor, NY 10510, United States of America"
"Philips Research North America, Manor, NY","Philips Research North America, 345 Scarborough Road, Scarborough, Village of Briarcliff Manor, NY 10510, United States of America"
"Centre for Development of Advanced Computing (C-DAC) Bengaluru, India","Bangalore, Bangalore Urban, India"
"Indian National Centre for Ocean Information Services (INCOIS), Hyderabad, India","Indian National Centre for Ocean Information Services, Pragathi Nagar Road, Ward 125 Gajularamaram, Hyderabad - 501002, Telangana, India"
"University of Moratuwa Moratuwa, Sri Lanka","University of Moratuwa, Katubedda-Piliyandala Road, Katubedda, Rawathawatta 10400, Sri Lanka"
"Moscow Technical University of Communications and Informatics, Moscow, Russia","Moscow, Russia"
"Management and Business Technologies dept. Moscow Technical University of Communication and Informatics, Moscow, Russia","Management and Business Technologies dept. Moscow Technical University of Communication and Informatics, Moscow, Russia"
"Universidad Europea Madrid, Spain","Universidad Europea de Madrid, Autovía de los Pantanos, 28670 Villaviciosa de Odón, Spain"
"Universiti Malaysia Kuantan, Pahang, Malaysia","Universiti Malaysia Pahang Al-Sultan Abdullah (Kampus Gambang), Lebuh Persiaran Tun Khalil Yaakob, 26300, Pahang, Malaysia"
"Faculty of Technology Oslo Metropolitan University, Oslo, Norway","Oslo, Norway"
"Universiti Tenaga Nasional Kajang, Malaysia","Kajang, Hulu Langat, Malaysia"
"Universiti Tenaga Nasional Selangor, Malaysia","Kuala Selangor, Selangor, Malaysia"
"University of Toulouse Toulouse, France","Rue d'Ox, 31300 Toulouse, France"
"IRIT, University of Toulouse III, France",France
"Computer Science Research Institute of Toulouse, IRIT","Computer Science Research Institute of Toulouse, IRIT"
"University of Electronic Science and Technology of China (UESTC) Chengdu, China","Chengdu, Sichuan Sheng, China"
"University of Electronic Science and Technology of China Chengdu, China","611731 China, Sichuan, Pidu District, Hezuo Subdistrict, Xiyuan Avenue, University of Electronic Science and Technology of China"
"Birmingham City University Birmingham, U.K.","BCU International College, 15 Bartholomew Row, Park Central, B5 5JU, United Kingdom"
"National University of Computer and Emerging Sciences (NUCES) Islamabad, Pakistan","Islamabad, Islāmābād Capital Territory, Pakistan"
"Xi'an shaanxi, china","Xi'an, Shaanxi, China"
"Hankou University Wuhan, China","China, Hubei, Jiangxia District, Wenhua Avenue 229, Hankou University"
"School of Computer, Wuhan University Wuhan, China","Wuhan, Hubei, China"
"Early Warning Academy, Wuhan, China","Wuhan, Hubei, China"
"Wuhan Hubei, CN","Wuhan, Hubei, China"
"McDermott Will & Emery, LLP","McDermott Will & Emery, LLP"
McDermott Will & Emery,"McDermott Will & Emery, 500 North Capitol Street Northwest, Washington, DC 20001, United States of America"
Stanley Ho Big Data Decision Analytics Research Centre,"Centre, Cameroon"
Department of Systems Engineering and Engineering Management,Department of Systems Engineering and Engineering Management
"JC School of Public Health and Primary Care, The Chinese University of Hong Kong, Hong Kong","Høng, Kalundborg Kommune, Denmark"
"Vocal Engineering Technologies Limited, Hong Kong SAR, China",China
"The Chinese University of Hong Kong Hong Kong SAR, China","China, Hong Kong, Chek Nai Ping Village, Pak Shek Kok, Pok Yin Road, The Chinese University of Hong Kong"
"The Chinese University of Hong Kong Shatin, New Territories, Hong Kong",Hong Kong
"College of Information Engineering Jiangsu Maritime Institute, Nanjing, China","Nanjing, Jiangsu Sheng, China"
"Jiangsu Maritime Institute Nanjing, China","211112 China, Jiangsu, Nanjing City, 格致路 309, Jiangsu Maritime Institute"
"Nanjing Huihai Transportation Technology Company Limited Nanjing, China","Nanjing, Jiangsu Sheng, China"
"School of Computer Science Shaanxi Normal University, Xi'an, China","Xi'an, Shaanxi, China"
"University of Technology Sydney Sydney, Australia","University of Technology Sydney, The Goods Line, Haymarket NSW 2000, Australia"
"Hunan Province Universities Huaihua, Hunan, P. R. China",China
"Huaihua University Huaihua, Hunan, P. R. China","Hunan, China"
"Key Laboratory of Wuling-Mountain Health Big Data, Intelligent Processing and Application in Hunan Province Universities","Anderson, South Carolina, United States of America"
"School of Computer Science and Engineering, Huaihua University","University, Lafayette County, Mississippi, United States of America"
"Huaihua University Huaihua, Hunan, China","Huaihua, Hunan, China"
"Key Laboratory of Intelligent Control Technology for Wuling-Mountain Ecological Agriculture in Hunan Province, Huaihua, China","Key Laboratory of Intelligent Control Technology for Wuling-Mountain Ecological Agriculture in Hunan Province, Huaihua, China"
"Guang’an Vocational & Technical College Guang’an, China","Guang’an, Sichuan Sheng, China"
"Himachal Pradesh University Shimla, India","Himachal Pradesh National Law University Shimla, NH205, Shimla District, Dianda - 171011, Himachal Pradesh, India"
"Zhengzhou University Zhengzhou, China","China, Henan, Zhongyuan District, 科学大道, Zhengzhou University"
"College of Computers and Information Technology Taif, Saudi Arabia","Ta'if, Makkah, Saudi Arabia"
"Chinese Culture University Taipei, Taiwan","Taiwan, 11114, Taipei Shilin District 華岡路 55, Chinese Culture University"
"King Mongkut's University of Technology North Bangkok (KMUTNB) Bangkok, Thailand","Bangkok, Thailand"
"Faculty of Technical Education King Mongkut's University of Technology North Bangkok, Bangkok, Thailand","Bangkok, Thailand"
"State Grid Anshan Electric Power Supply Company, Shenyang, China","Shenyang, Shenyang Shi, China"
"LTD Beijing, China","Beijing Economic and Technological Development Area, Daxing District, Beijing, China"
"University of Victoria Victoria, Canada","Victoria, BC, Canada"
"University of Victoria Victoria, BC, Canada","Victoria, BC, Canada"
"Stanford University BC, USA","W University Blvd, Dallas, TX, United States of America"
"Yunnan University of Business Management Kunming, Yunnan, China","Kunming, Yunnan, China"
"Guangzhou College of Commerce, Guangzhou, China","China, Guangdong Province, Huangpu District, Longhu Subdistrict, Jiulong Avenue, Guangzhou College of Commerce"
"Guangzhou College of Technology and Business Guangzhou, Guangdong, China","Guangzhou, Guangdong, China"
"Alkit Communications AB, Mölndal, Sweden","Mölndal, Sweden"
"Alkit Communications AB Molndal, Sweden","Mölndal, Sweden"
"Volvo Car Corporation Gothenburg, Sweden","Volvo Car Corporation, Theres Svenssons gata 7, 417 80 Gothenburg, Sweden"
"Tongling University Tongling, China","Wusong, Anhui Sheng, China"
"Institute of Digital Innovation & Research (IDIR), Dublin, Ireland","Dublin, Ireland"
"University of Manchester, UK","University of Manchester Students' Union, Oxford Road, Brunswick, Manchester, M13 9PR, United Kingdom"
"Centro Ricerche Fiat (CRF), Orbassano, Italy","Orbassano, Turin, Italy"
"School of Engineering and Applied Science, Ahmedabad, India","School of Engineering and Applied Science, University Road, Usmanpura, Navrangpura - 380009, Gujarat, India"
"School of Engineering and Applied Science, Ahmedabad University, India","School of Engineering and Applied Science, University Road, Usmanpura, Navrangpura - 380009, Gujarat, India"
"Ltd. Shenyang, China","110819 China, Liaoning, Shenyang City, Changbai Subdistrict, 南堤西路 26-11, Ingenics Consulting Co., Ltd. Office Shenyang"
"Ltd Beijing, China","Beijing Economic and Technological Development Area, Daxing District, Beijing, China"
"State Grid Liaoning Electric Power Supply Company, Shenyang, China","Shenyang, Shenyang Shi, China"
"Xi'an Jiaotong University Shaanxi Key Laboratory of Intelligent Robots, Xi'an, China","Xi'an, Shaanxi, China"
"Xi’an Jiaotong University Xi’an, China","Xi'an, Shaanxi, China"
"Chengdu Sichuan, China","610031 China, Sichuan, Chengdu, Hehuachi, 站西路"
"Beijing Foreign Studies University Beijing, China","100872 China, Beijing, Haidian District, Zizhuyuan, 厂洼中路 2号/19号, Beijing Foreign Studies University"
"BNRist Institute of Internet Industry, Tsinghua University, Beijing, China","Beijing, Beijing Shi, China"
"School of Software Engineering, Tongji University, China",China
"Tongji University, Shanghai, China","200092 China, Shanghai, Yangpu District, Sipinglu, Siping Road 1239, Tongji University"
IBM T.J. Watson Research Center,"Zou Department, Benin"
"Yorktown Heights NY, USA","Yorktown Heights, Yorktown, New York, United States of America"
"Business School Yunnan University of Finance and Economics, Kunming, China","Kunming, Yunnan, China"
"Lanmei School Yunnan Minzu University, Kunming, China","Kunming, Yunnan, China"
"Oceanum(Beijing) Science and Technology Co. Ltd, Beijing, China","Beijing, Beijing Shi, China"
"East China Jiaotong University Nanchang, China","330013 China, Jiangxi, Nanchang Economic and Technological Development Zone, 双港村, 白水湖管理处, 双港东大街 808, 华东交通大学 East China Jiaotong University"
"Queen’s University Kingston, Canada","Queen's University, University Avenue, Kingston, ON K7L 3N6, Canada"
"Queen's University Kingston, ON, Canada","Queen's University, University Avenue, Kingston, ON K7L 3N6, Canada"
"The University of Aizu Aizu-Wakamatsu, Fukushima, Japan","Aizu-wakamatsu Shi, Japan"
"The University of Aizu Aizuwakamatsu, Fukushima, Japan","Aizu-wakamatsu Shi, Japan"
"Leshan Normal University, Leshan, China","Leshan, Sichuan Sheng, China"
"Tan Kah Kee College Xiamen University Xiamen, P.R. China",China
"Korea Atomic Energy Research Institute Daejeon, South Korea","South Korea, Daejeon, Sinseong-dong, Daedeok-daero 989beon-gil, Korea Atomic Energy Research Institute, 34058"
"Chung-Ang University Seoul, South Korea","South Korea, Seoul, Heukseok-dong, Heukseok-ro, Chung-Ang University, 06981"
